,precision,recall,f1-score,support,model_name,dataset,use_pos,use_context,use_trans,use_weights,batch_size,epoch,lr_rate,resample_perc,n_classes,fold,timestamp_now
accuracy,0.9461732548359968,0.9461732548359968,0.9461732548359968,0.9461732548359968,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
macro avg,0.3852352122093201,0.4458142320241193,0.3885446928550377,1189.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
weighted avg,0.9777724919928664,0.9461732548359968,0.9605759222780192,1189.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-25 00:19:05
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
inform,0.9966555183946488,0.2584562012142237,0.4104683195592286,1153.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
instruct,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
other,0.0,0.0,0.0,6.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
question,0.0224719101123595,1.0,0.0439560439560439,20.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
accuracy,0.2674516400336417,0.2674516400336417,0.2674516400336417,0.2674516400336417,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
macro avg,0.1455896326438583,0.1797794573163176,0.0649177662164675,1189.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
weighted avg,0.9668572337353046,0.2674516400336417,0.3987797252572847,1189.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:48:55
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
inform,0.9956331877729258,0.3954900260190807,0.5661080074487895,1153.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
instruct,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
other,0.1111111111111111,0.1666666666666666,0.1333333333333333,6.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
question,0.0277008310249307,1.0,0.0539083557951482,20.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
accuracy,0.4011774600504625,0.4011774600504625,0.4011774600504625,0.4011774600504625,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
macro avg,0.1620635899869953,0.2231652418122496,0.1076213852253244,1189.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
weighted avg,0.966514506971698,0.4011774600504625,0.5505472663619488,1189.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 22:53:42
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
inform,0.9966555183946488,0.2584562012142237,0.4104683195592286,1153.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
instruct,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
other,0.0,0.0,0.0,6.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
question,0.0224719101123595,1.0,0.0439560439560439,20.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
accuracy,0.2674516400336417,0.2674516400336417,0.2674516400336417,0.2674516400336417,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
macro avg,0.1455896326438583,0.1797794573163176,0.0649177662164675,1189.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
weighted avg,0.9668572337353046,0.2674516400336417,0.3987797252572847,1189.0,main,test,True,False,True,True,4,0,5e-06,0.1,7,,2024-07-25 22:59:38
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
inform,0.9956331877729258,0.3954900260190807,0.5661080074487895,1153.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
instruct,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
other,0.1111111111111111,0.1666666666666666,0.1333333333333333,6.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
question,0.0277008310249307,1.0,0.0539083557951482,20.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
accuracy,0.4011774600504625,0.4011774600504625,0.4011774600504625,0.4011774600504625,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
macro avg,0.1620635899869953,0.2231652418122496,0.1076213852253244,1189.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
weighted avg,0.966514506971698,0.4011774600504625,0.5505472663619488,1189.0,main,test,True,False,True,True,4,1,5e-06,0.1,7,,2024-07-25 23:03:24
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
inform,0.9892952720785012,0.9618386816999132,0.9753737906772209,1153.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
instruct,0.2,0.3333333333333333,0.25,3.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
other,0.0555555555555555,0.3333333333333333,0.0952380952380952,6.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
question,0.7407407407407407,1.0,0.851063829787234,20.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
accuracy,0.9520605550883096,0.9520605550883096,0.9520605550883096,0.9520605550883096,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
macro avg,0.2836559383392568,0.3755007640523685,0.3102393879575071,1189.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
weighted avg,0.9725867088769218,0.9520605550883096,0.9612688694852892,1189.0,main,test,True,False,True,True,4,2,5e-06,0.1,7,,2024-07-25 23:07:37
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
inform,0.989843028624192,0.9297484822202948,0.958855098389982,1153.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
other,0.0394736842105263,0.5,0.073170731707317,6.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
question,0.7142857142857143,1.0,0.8333333333333334,20.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
accuracy,0.9217830109335576,0.9217830109335576,0.9217830109335576,0.9217830109335576,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
macro avg,0.320514632445776,0.3947259736505183,0.3236227376329475,1189.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
weighted avg,0.973348669802078,0.9217830109335576,0.945219192178772,1189.0,main,test,True,False,True,True,4,3,5e-06,0.1,7,,2024-07-25 23:11:30
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
inform,0.9917440660474716,0.8334778837814397,0.9057492931196984,1153.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
other,0.015625,0.5,0.0303030303030303,6.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
question,0.7692307692307693,1.0,0.8695652173913043,20.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
accuracy,0.8284272497897393,0.8284272497897393,0.8284272497897393,0.8284272497897393,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
macro avg,0.3252285478968915,0.3809730310163962,0.3150882201162904,1189.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
weighted avg,0.9759960248421786,0.8284272497897393,0.894114430190628,1189.0,main,test,True,False,True,True,4,4,5e-06,0.1,7,,2024-07-25 23:15:38
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
inform,0.988666085440279,0.9835212489158716,0.9860869565217392,1153.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
other,0.0625,0.1666666666666666,0.0909090909090909,6.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
question,0.8333333333333334,1.0,0.9090909090909092,20.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
accuracy,0.9722455845248108,0.9722455845248108,0.9722455845248108,0.9722455845248108,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
macro avg,0.3406427741105161,0.3547887498451245,0.3408695652173913,1189.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
weighted avg,0.974326041361908,0.9722455845248108,0.9729903562631104,1189.0,main,test,True,False,True,True,4,5,5e-06,0.1,7,,2024-07-25 23:20:09
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
inform,0.99438202247191,0.9210754553339116,0.9563259792886089,1153.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
instruct,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
other,0.0326086956521739,0.5,0.0612244897959183,6.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
accuracy,0.913372582001682,0.913372582001682,0.913372582001682,0.913372582001682,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
macro avg,0.296712959732012,0.3934869698096064,0.3131648062411002,1189.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
weighted avg,0.978526597211123,0.913372582001682,0.9433524993216668,1189.0,main,test,True,False,True,True,4,6,5e-06,0.1,7,,2024-07-25 23:24:04
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
inform,0.9917733089579523,0.9410234171725932,0.9657320872274144,1153.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
other,0.0441176470588235,0.5,0.081081081081081,6.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
accuracy,0.9327165685449958,0.9327165685449958,0.9327165685449958,0.9327165685449958,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
macro avg,0.3336987080023966,0.3963366786437038,0.3336717224567692,1189.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
weighted avg,0.9766857284363936,0.9327165685449958,0.9528623724453096,1189.0,main,test,True,False,True,True,4,7,5e-06,0.1,7,,2024-07-25 23:28:01
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
inform,0.9917355371900828,0.9366869037294016,0.9634255129348795,1153.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
instruct,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
other,0.0410958904109589,0.5,0.0759493670886076,6.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
accuracy,0.928511354079058,0.928511354079058,0.928511354079058,0.928511354079058,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
macro avg,0.3332616325144344,0.3957171767232478,0.3326091098446251,1189.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
weighted avg,0.9766338517431716,0.928511354079058,0.9505997396082638,1189.0,main,test,True,False,True,True,4,8,5e-06,0.1,7,,2024-07-25 23:33:04
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
inform,0.9927404718693283,0.9488291413703382,0.9702882483370288,1153.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
instruct,0.2,0.3333333333333333,0.25,3.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
other,0.0566037735849056,0.5,0.1016949152542373,6.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
accuracy,0.9402859545836838,0.9402859545836838,0.9402859545836838,0.9402859545836838,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
macro avg,0.2927634636363191,0.3974517821005245,0.3158388646400221,1189.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
weighted avg,0.9769296776340158,0.9402859545836838,0.9570061375962132,1189.0,main,test,True,False,True,True,4,9,5e-06,0.1,7,,2024-07-25 23:38:15
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
inform,0.9901960784313726,0.96357328707719,0.9767032967032968,1153.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
other,0.0526315789473684,0.3333333333333333,0.0909090909090909,6.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
accuracy,0.9537426408746846,0.9537426408746846,0.9537426408746846,0.9537426408746846,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
macro avg,0.3108801415302963,0.3757485648205509,0.3271192299763727,1189.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
weighted avg,0.9747786946215784,0.9537426408746846,0.9633827867301372,1189.0,main,test,True,False,True,True,4,10,5e-06,0.1,7,,2024-07-25 23:43:32
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
inform,0.990072202166065,0.9514310494362532,0.9703670942061036,1153.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
other,0.0416666666666666,0.3333333333333333,0.074074074074074,6.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
accuracy,0.9419680403700588,0.9419680403700588,0.9419680403700588,0.9419680403700588,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
macro avg,0.3092960288808664,0.3740139594432742,0.323809055786057,1189.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
weighted avg,0.9746032372560748,0.9419680403700588,0.9571534750562316,1189.0,main,test,True,False,True,True,4,11,5e-06,0.1,7,,2024-07-25 23:49:08
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
inform,0.9901960784313726,0.96357328707719,0.9767032967032968,1153.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
other,0.0909090909090909,0.5,0.1538461538461538,6.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
suggest,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
accuracy,0.9545836837678722,0.9545836837678722,0.9545836837678722,0.9545836837678722,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
macro avg,0.3163483575248281,0.3995580886300747,0.3361102389673818,1189.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
weighted avg,0.9749718527980042,0.9545836837678722,0.9637003833471453,1189.0,main,test,True,False,True,True,4,12,5e-06,0.1,7,,2024-07-25 23:54:30
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
inform,0.9944186046511628,0.9271465741543798,0.959605026929982,1153.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
instruct,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
other,0.0428571428571428,0.5,0.0789473684210526,6.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
suggest,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
accuracy,0.9201009251471826,0.9201009251471826,0.9201009251471826,0.9201009251471826,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
macro avg,0.3338965353583294,0.4419733201172923,0.3569814079526421,1189.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
weighted avg,0.9792445702438466,0.9201009251471826,0.9473425935684266,1189.0,main,test,True,False,True,True,4,13,5e-06,0.1,7,,2024-07-25 23:59:56
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
inform,0.9919282511210762,0.9592367736339984,0.9753086419753086,1153.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
other,0.0789473684210526,0.5,0.1363636363636363,6.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
suggest,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
accuracy,0.951219512195122,0.951219512195122,0.951219512195122,0.951219512195122,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
macro avg,0.3863155646964946,0.4465576343286664,0.3905563572230238,1189.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
weighted avg,0.97785278196226,0.951219512195122,0.9632689855285876,1189.0,main,test,True,False,True,True,4,14,5e-06,0.1,7,,2024-07-26 00:05:19
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
disagreement,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
inform,0.992619926199262,0.9332176929748482,0.962002682163612,1153.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
other,0.05,0.5,0.0909090909090909,6.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
suggest,0.25,0.3333333333333333,0.2857142857142857,3.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
accuracy,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
macro avg,0.382279037076085,0.4904596704249783,0.4066517952462137,1189.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
weighted avg,0.9783774389468032,0.926829268292683,0.950569058513173,1189.0,main,test,True,False,True,True,4,15,5e-06,0.1,7,,2024-07-26 00:10:46
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
inform,0.9926131117266852,0.93235039028621,0.9615384615384616,1153.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
other,0.0588235294117647,0.5,0.1052631578947368,6.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
suggest,0.2,0.3333333333333333,0.25,3.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
accuracy,0.9251471825063078,0.9251471825063078,0.9251471825063078,0.9251471825063078,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
macro avg,0.3406814249245405,0.4427167224218395,0.3627176916650601,1189.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
weighted avg,0.9776584179960792,0.9251471825063078,0.9493803220176554,1189.0,main,test,True,False,True,True,4,16,5e-06,0.1,7,,2024-07-26 00:16:18
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
inform,0.9918256130790192,0.9470945359930616,0.968944099378882,1153.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
other,0.0638297872340425,0.5,0.1132075471698113,6.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
